Time,lat,long,d,Direction,f,PM1.0,PM2.5,PM10.0,0.3μm,0.5μm,1.0μm,2.5μm,5.0μm,10.0μm,p,1.0,2.5,10.0
2020-12-15T12:19:19.943094,52.5487133333,13.368756666700001, 4homepulse, o,0.0,18,28,28,5439,1596,314,6,0,0,1919,18,10,0
2020-12-15T12:19:20.952105,52.5487183333,13.368766666700001, 4homepulse, o,0.0,17,28,28,5230,1566,319,6,0,0,1919,17,11,0
2020-12-15T12:19:21.961247,52.548721666700004,13.3687733333, 4homepulse, o,0.0,17,26,26,4985,1401,292,6,0,0,1919,17,9,0
2020-12-15T12:19:22.971071,52.548725,13.3687766667, 4homepulse, o,0.0,16,25,25,4985,1401,292,6,0,0,1919,16,9,0
2020-12-15T12:19:23.981152,52.5487266667,13.3687766667, 4homepulse, o,0.0,16,24,24,4949,1391,282,2,0,0,1919,16,8,0
2020-12-15T12:19:24.991998,52.5487266667,13.3687766667, 4homepulse, o,0.0,16,24,24,4949,1391,282,2,0,0,1919,16,8,0
2020-12-15T12:19:26.003570,52.5487283333,13.368763333299999, 4homepulse, o,0.0,14,20,20,4471,1324,126,0,0,0,1919,14,6,0
2020-12-15T12:19:27.027527,52.5487566667,13.368770000000001, 3cobbleGroove2, w,0.0,14,20,20,4471,1324,126,0,0,0,1919,14,6,0
2020-12-15T12:19:28.046981,52.548675,13.368910000000001, 4homepulse, w,0.0,13,20,21,4465,1326,121,2,2,0,1919,13,7,1
2020-12-15T12:19:29.061186,52.5486533333,13.3688216667, 4homepulse, w,0.0,13,20,21,4465,1326,121,2,2,0,1919,13,7,1
2020-12-15T12:19:30.082616,52.5486466667,13.3687383333, 4homepulse, w,0.0,13,19,20,4450,1324,124,2,2,0,1919,13,6,1
2020-12-15T12:19:31.098931,52.548715,13.3685933333, 4homepulse, w,0.0,13,19,20,4450,1324,124,2,2,0,1919,13,6,1
2020-12-15T12:19:32.114137,52.54869,13.368628333299998, 4homepulse, w,0.0,14,20,21,4644,1356,257,2,2,0,1919,14,6,1
2020-12-15T12:19:33.129555,52.5486683333,13.368654999999999, 4homepulse, w,0.0,14,20,21,4644,1356,257,2,2,0,1919,14,6,1
2020-12-15T12:19:34.144741,52.548675,13.368654999999999, 4homepulse, nw,0.0017078663611196,14,20,21,4623,1348,124,2,2,0,1919,14,6,1
2020-12-15T12:19:35.160031,52.5486666667,13.3686983333, 4homepulse, nw,0.0017078663611196,14,20,21,4623,1348,124,2,2,0,1919,14,6,1
2020-12-15T12:19:36.182534,52.54865,13.3687416667, 4homepulse, nw,0.0017078663611196,15,21,22,4728,1376,267,4,2,0,1919,15,6,1
2020-12-15T12:19:37.197921,52.5486483333,13.368761666700001, 4homepulse, nw,0.0017078663611196,15,21,22,4728,1376,267,4,2,0,1919,15,6,1
2020-12-15T12:19:38.213052,52.5486483333,13.36878, 4homepulse, nw,0.0017078663611196,15,21,23,4910,1391,257,6,2,0,1919,15,6,2
2020-12-15T12:19:39.228698,52.5486516667,13.3687916667, 4homepulse, nw,0.0017078663611196,15,21,23,4910,1391,257,6,2,0,1919,15,6,2
2020-12-15T12:19:40.244932,52.5486533333,13.368795, 4homepulse, nw,0.0017078663611196,16,21,23,4985,1544,119,6,2,0,1919,16,5,2
2020-12-15T12:19:41.260429,52.54865,13.368801666700001, 4homepulse, nw,0.0017078663611196,16,21,23,4985,1544,119,6,2,0,1919,16,5,2
2020-12-15T12:19:42.276413,52.5486483333,13.3688, 4homepulse, e,0.0014633340400967,16,23,25,5179,1561,274,10,4,2,1919,16,7,2
2020-12-15T12:19:43.292544,52.5486416667,13.3687883333, 4homepulse, e,0.0014633340400967,16,23,25,5179,1561,274,10,4,2,1919,16,7,2
2020-12-15T12:19:44.309065,52.548633333299996,13.368775, 4homepulse, e,0.0014633340400967,15,23,27,5179,1553,274,12,6,4,1919,15,8,4
2020-12-15T12:19:45.334579,52.5486266667,13.368754999999998, 4homepulse, e,0.0014633340400967,15,23,27,5179,1553,274,12,6,4,1919,15,8,4
2020-12-15T12:19:46.351539,52.5486283333,13.3687383333, 4homepulse, e,0.0014633340400967,14,22,26,5185,1550,284,12,6,4,1919,14,8,4
2020-12-15T12:19:47.368355,52.54863,13.3687333333, 4homepulse, e,0.0014633340400967,14,22,26,5185,1550,284,12,6,4,1919,14,8,4
2020-12-15T12:19:48.384506,52.548633333299996,13.3687283333, 4homepulse, e,0.0014633340400967,15,22,25,5191,1550,294,10,4,4,1919,15,7,3
2020-12-15T12:19:49.401040,52.5486383333,13.3687216667, 4homepulse, e,0.0014633340400967,15,22,25,5191,1550,294,10,4,4,1919,15,7,3
2020-12-15T12:19:50.418500,52.5486433333,13.368715, 4homepulse, w,0.00082495553324332,14,22,25,5170,1542,306,10,4,4,1919,14,8,3
2020-12-15T12:19:51.434756,52.5486483333,13.368711666700001, 4homepulse, w,0.00082495553324332,14,22,25,5170,1542,306,10,4,4,1919,14,8,3
2020-12-15T12:19:52.451499,52.5486533333,13.368706666700001, 4homepulse, w,0.00082495553324332,13,22,25,4991,1392,319,10,4,4,1919,13,9,3
2020-12-15T12:19:53.468150,52.5486566667,13.3687033333, 4homepulse, w,0.00082495553324332,13,22,25,4991,1392,319,10,4,4,1919,13,9,3
2020-12-15T12:19:54.484747,52.54866,13.368701666700002, 4homepulse, w,0.00082495553324332,13,23,26,5179,1540,324,10,4,4,1919,13,10,3
2020-12-15T12:19:55.503070,52.5486633333,13.3686983333, 4homepulse, w,0.00082495553324332,13,23,26,5179,1540,324,10,4,4,1919,13,10,3
2020-12-15T12:19:56.520984,52.5486666667,13.3686933333, 4homepulse, w,0.00082495553324332,13,22,27,5164,1540,326,10,6,4,1919,13,9,5
2020-12-15T12:19:57.540841,52.548669999999994,13.3686916667, 4homepulse, w,0.00082495553324332,13,22,27,5164,1540,326,10,6,4,1919,13,9,5
2020-12-15T12:19:58.560883,52.5486716667,13.368689999999999, 4homepulse, sw,0.00051088232250685,13,22,28,5230,1567,334,10,8,4,1919,13,9,6
2020-12-15T12:19:59.583505,52.5486716667,13.3686916667, 4homepulse, sw,0.00051088232250685,13,22,28,5230,1567,334,10,8,4,1919,13,9,6
2020-12-15T12:20:00.603142,52.5486683333,13.368685000000001, 4homepulse, sw,0.00051088232250685,13,22,28,5170,1547,334,10,8,4,1919,13,9,6
2020-12-15T12:20:01.623279,52.5486583333,13.368666666700001, 4homepulse, sw,0.00051088232250685,13,22,28,5170,1547,334,10,8,4,1919,13,9,6
