Time,b,c,d,Direction,f,PM1.0,PM2.5,PM10.0,0.3μm,0.5μm,1.0μm,2.5μm,5.0μm,10.0μm,p
2020-12-13T17:13:26.667972, 52.5499416667, 13.3728316667, 2christianWall, o, 0, 1, 3, 5, 616, 120, 33, 4, 3, 3, 1919 
2020-12-13T17:13:27.676477, 52.54981, 13.372515, 2christianWall, o, 0, 1, 3, 5, 592, 112, 33, 4, 3, 3, 1919 
2020-12-13T17:13:28.685927, 52.550085, 13.3727866667, 2christianWall, o, 0, 1, 3, 5, 592, 112, 33, 4, 3, 3, 1919 
2020-12-13T17:13:29.696526, 52.550005, 13.3729, 2christianWall, o, 0, 2, 3, 5, 628, 122, 31, 4, 3, 3, 1919 
2020-12-13T17:13:30.706621, 52.549965, 13.3727966667, 2christianWall, o, 0, 2, 3, 5, 628, 122, 31, 4, 3, 3, 1919 
2020-12-13T17:13:31.717976, 52.5498383333, 13.3727166667, 2christianWall, o, 0, 2, 3, 6, 834, 264, 31, 4, 3, 3, 1919 
2020-12-13T17:13:32.730279, 52.5498683333, 13.372735, 2christianWall, o, 0, 2, 3, 6, 834, 264, 31, 4, 3, 3, 1919 
2020-12-13T17:13:33.754226, 52.5499716667, 13.3727833333, 2christianWall, w, 0, 2, 3, 6, 864, 272, 30, 3, 3, 3, 1919 
2020-12-13T17:13:34.770185, 52.5499483333, 13.3728066667, 2christianWall, w, 0, 2, 3, 6, 864, 272, 30, 3, 3, 3, 1919 
2020-12-13T17:13:35.803099, 52.550245, 13.3732733333, none, w, 0, 2, 3, 5, 846, 262, 29, 3, 3, 3, 1919 
2020-12-13T17:13:36.816310, 52.55033, 13.37335, none, w, 0, 2, 3, 5, 846, 262, 29, 3, 3, 3, 1919 
2020-12-13T17:13:37.843849, 52.5502083333, 13.3731966667, 2christianWall, w, 0, 3, 4, 4, 1082, 294, 41, 1, 0, 0, 1919 
2020-12-13T17:13:38.873486, 52.550255, 13.37358, none, w, 0, 3, 4, 4, 1082, 294, 41, 1, 0, 0, 1919 
2020-12-13T17:13:39.884892, 52.5501183333, 13.3736133333, none, w, 0, 4, 5, 6, 1336, 334, 51, 2, 0, 0, 1919 
2020-12-13T17:13:40.899689, 52.5501383333, 13.3736566667, none, w, 0, 4, 5, 6, 1336, 334, 51, 2, 0, 0, 1919 
2020-12-13T17:13:41.925886, 52.5501016667, 13.37388, none, e, 0.010792295992779, 4, 6, 7, 1578, 364, 61, 2, 0, 0, 1919 
2020-12-13T17:13:42.954015, 52.5500233333, 13.3736766667, 2christianWall, e, 0.010792295992779, 4, 6, 7, 1578, 364, 61, 2, 0, 0, 1919 
2020-12-13T17:13:43.977778, 52.5499083333, 13.37353, 2christianWall, e, 0.010792295992779, 6, 7, 8, 1838, 532, 69, 2, 0, 0, 1919 
2020-12-13T17:13:44.992236, 52.5498883333, 13.3731883333, 2christianWall, e, 0.010792295992779, 6, 7, 8, 1838, 532, 69, 2, 0, 0, 1919 
2020-12-13T17:13:46.013609, 52.5497633333, 13.3727383333, 2christianWall, e, 0.010792295992779, 6, 8, 9, 2080, 566, 70, 3, 1, 1, 1919 
2020-12-13T17:13:47.028631, 52.5498766667, 13.37271, 2christianWall, e, 0.010792295992779, 6, 8, 9, 2080, 566, 70, 3, 1, 1, 1919 
2020-12-13T17:13:48.043674, 52.549925, 13.37272, 2christianWall, e, 0.010792295992779, 7, 9, 11, 2310, 594, 76, 3, 1, 1, 1919 
2020-12-13T17:13:49.072222, 52.5497633333, 13.3726083333, 2christianWall, w, 0.013407576784377, 7, 9, 11, 2310, 594, 76, 3, 1, 1, 1919 
