Time,b,c,d,Direction,f,PM1.0,PM2.5,PM10.0,0.3μm,0.5μm,1.0μm,2.5μm,5.0μm,10.0μm,p
2020-12-09T10:56:09.088283, 52.5491216667, 13.37173, 4homepulse, o, 0, 37, 69, 75, 11027, 3340, 858, 47, 5, 2, 1919 
2020-12-09T10:56:10.099793, 52.5491016667, 13.371705, 4homepulse, o, 0, 36, 69, 78, 11057, 3346, 856, 53, 8, 5, 1919 
2020-12-09T10:56:11.106576, 52.5490683333, 13.3716833333, 4homepulse, o, 0, 37, 69, 77, 11099, 3356, 850, 57, 7, 4, 1919 
2020-12-09T10:56:12.116556, 52.5490366667, 13.3716583333, 4homepulse, o, 0, 37, 69, 77, 11099, 3356, 850, 57, 7, 4, 1919 
2020-12-09T10:56:13.126506, 52.5489916667, 13.37165, 4homepulse, o, 0, 37, 71, 79, 11308, 3388, 842, 58, 7, 4, 1919 
2020-12-09T10:56:14.138311, 52.5489566667, 13.37163, 4homepulse, o, 0, 37, 71, 79, 11308, 3388, 842, 58, 7, 4, 1919 
2020-12-09T10:56:15.148645, 52.54894, 13.3715916667, 4homepulse, o, 0, 36, 70, 78, 11541, 3404, 844, 56, 7, 5, 1919 
2020-12-09T10:56:16.160293, 52.548925, 13.3715533333, 4homepulse, w, 0, 39, 72, 85, 11870, 3605, 874, 58, 12, 10, 1919 
2020-12-09T10:56:17.172951, 52.54891, 13.3715116667, 4homepulse, w, 0, 39, 69, 81, 11843, 3607, 842, 50, 12, 10, 1919 
2020-12-09T10:56:18.185940, 52.5488983333, 13.3714683333, 4homepulse, w, 0, 39, 68, 80, 12052, 3631, 854, 50, 13, 10, 1919 
2020-12-09T10:56:19.198574, 52.548885, 13.3714216667, 4homepulse, w, 0, 38, 71, 79, 11897, 3617, 852, 56, 10, 9, 1919 
2020-12-09T10:56:20.211437, 52.5488816667, 13.3713616667, 4homepulse, w, 0, 39, 72, 82, 12058, 3637, 864, 60, 10, 9, 1919 
2020-12-09T10:56:21.229911, 52.54889, 13.371285, 4homepulse, w, 0, 39, 68, 78, 12040, 3625, 834, 53, 10, 9, 1919 
2020-12-09T10:56:22.245709, 52.5489, 13.3712016667, 4homepulse, w, 0, 41, 73, 83, 12121, 3656, 846, 57, 10, 7, 1919 
